company,company_clean,domain,website,country_inferred,country_inference_source,region_inferred,tld,email,email_domain,email_type,role_email,free_email_provider,phone_raw,phone_normalized,contact_readiness,outreach_priority,recommended_channel,consent_status,verification_status,overall_score,raw_text_snippet
World of Travel by Irshad Malek,World of Travel by Irshad Malek,worldoftravel.co.za,http://www.worldoftravel.co.za,South Africa,domain_tld,Africa,za,sales@worldoftravel.co.za,worldoftravel.co.za,company_domain,yes,no,082 333 6086,+27823336086,email_and_phone,A,email_first,legitimate_interest,email_verified,27.25,World of Travel by Irshad Malek
Wakeel Worldwide Travel,Wakeel Worldwide Travel,al-wakeelhajjandumrah.com,https://www.al-wakeelhajjandumrah.com/umrah-packages,Turkey,phone,MENA,com,info@al-wakeelhajjandumrah.com,al-wakeelhajjandumrah.com,company_domain,yes,no,50 0225 1 0325 1000,+15002251032,email_and_phone,A,email_first,legitimate_interest,email_verified,26.92,Umrah Packages
Alhadi Travel,Alhadi Travel,alhaditravel.co.uk,https://alhaditravel.co.uk,United Kingdom,domain_tld,Europe,uk,info@alhaditravel.co.uk,alhaditravel.co.uk,company_domain,yes,no,0203 930 0817,+442039300817,email_and_phone,A,email_first,legitimate_interest,email_verified,25.20,"Discover All inclusive Umrah packages UK from £699. Alhadi Travel offers flights, hotels & transport. ATOL & IATA certified. Book your journey today."
Alhaq Travel,Alhaq Travel,alhaqtravel.co.uk,https://www.alhaqtravel.co.uk/contact-us,United Kingdom,domain_tld,Europe,uk,quotes@alhaqtravel.co.uk,alhaqtravel.co.uk,company_domain,yes,no,020 34757513,+442034757513,email_and_phone,A,email_first,unknown,email_verified,26.42,Contact US | Alhaq Travel UK  | 020 34757513
Alharam travel,Alharam travel,alharamtravel.co.uk,https://www.alharamtravel.co.uk,United Kingdom,domain_tld,Europe,uk,info@alharamtravel.co.uk,alharamtravel.co.uk,company_domain,yes,no,+447417471247,+447417471247,email_and_phone,A,email_first,legitimate_interest,email_verified,25.10,"Book discounted hotels, buy lowest fare flights and enjoy exceptional planning of your Umrah trip or Halal holidays. We are experienced to plan, book and organize everything in advance."
Al Momin Travels,Al Momin Travels,almomintravel.co.uk,https://almomintravel.co.uk/about-us,United Kingdom,domain_tld,Europe,uk,info@almomintravel.co.uk,almomintravel.co.uk,company_domain,yes,no,+442032890000 16,+44203289000016,email_and_phone,A,email_first,legitimate_interest,email_verified,25.31,"Learn about Al Momin Travel, a UK-based agency offering reliable Umrah packages, expert guidance, and seamless travel experiences for pilgrims."
Umrah Travel Agency UK,Alzowar Travel,alzowartravel.co.uk,https://alzowartravel.co.uk,United Kingdom,domain_tld,Europe,uk,info@alzowartravel.co.uk,alzowartravel.co.uk,company_domain,yes,no,020 3504 2326 13,+12035042326,email_and_phone,A,email_first,legitimate_interest,email_verified,25.31,"Best Umrah Travel agency in UK, Al Zowar Travel offers Hajj and Umrah services, expert guidance, Dedicated support and ATOL protected."
Caravan Hajj Umrah,Caravan Hajj Umrah,caravanhajjumrah.com,https://www.caravanhajjumrah.com,United Kingdom,text_hint,Europe,com,info@caravanhajjumrah.com,caravanhajjumrah.com,company_domain,yes,no,+44 7428 786445,+447428786445,email_and_phone,A,email_first,legitimate_interest,email_verified,24.88,"Experience a seamless Hajj or Umrah pilgrimage with our expert guidance. We offer affordable packages from London, UK. Including flights, visa assistance, accommodation, and 24/7 support. Book your spiritual journey today by Caravan Hajj & Umrah."
GM Travel,GM Travel,gmtravel.co.uk,https://gmtravel.co.uk,United Kingdom,domain_tld,Europe,uk,info@gmtravel.co.uk,gmtravel.co.uk,company_domain,yes,no,+44 203 371 9643,+442033719643,email_and_phone,A,email_first,legitimate_interest,email_verified,25.25,"Embark on a spiritual journey filled with peace, comfort, and devotion. Our exclusive Umrah packages are designed to provide you with luxurious yet affordable"
Haj,Haj,haj.co.uk,https://www.haj.co.uk,United Kingdom,domain_tld,Europe,uk,info@haj.co.uk,haj.co.uk,company_domain,yes,no,020 7286 1111,+442072861111,email_and_phone,A,email_first,legitimate_interest,email_verified,25.25,Haj & Umra Travel provide Hajj and Umrah escorted tours as well as tailor made packages to suit different budgets. Specialists with decades of experience.
Haleema,Haleema,haleema.co.uk,https://www.haleema.co.uk/umrah-birmingham/birmingham-umrah-packages,United Kingdom,domain_tld,Europe,uk,sales@haleema.co.uk,haleema.co.uk,company_domain,yes,no,0158 234 3075,+441582343075,email_and_phone,A,email_first,legitimate_interest,email_verified,25.81,"Birmingham Umrah Packages in 2026, lets travel with Haleema Limited for a secure and hassle-free journey."
Ibadah Tours,Ibadah Tours,ibadahtours.com,https://www.ibadahtours.com/hajj-packages,United Kingdom,phone,Europe,com,info@ibadahtours.com,ibadahtours.com,company_domain,yes,no,020 8004 6786,+442080046786,email_and_phone,A,email_first,legitimate_interest,email_verified,25.31,Follow the Messanger of Allah's words and start your pilgrimage to the House of Allah. Ibadah Tours have created Hajj packages to make this easy.
Ikhlas Travel,Ikhlas Travel,ikhlastravel.co.uk,https://ikhlastravel.co.uk,United Kingdom,domain_tld,Europe,uk,info@ikhlastravel.co.uk,ikhlastravel.co.uk,company_domain,yes,no,+44 20 8123 2138,+442081232138,email_and_phone,A,email_first,legitimate_interest,email_verified,25.44,"Ikhlas Travel – trusted UK provider of affordable Umrah packages from London, Birmingham, Manchester & flights, hotels & spiritual journeys."
Trusted Islamic Travel Agency in the UK,Trusted Islamic Travel Agency in the UK,islamictravel.co.uk,https://www.islamictravel.co.uk,United Kingdom,domain_tld,Europe,uk,info@islamictravel.co.uk,islamictravel.co.uk,company_domain,yes,no,0203-970-4500,+442039704500,email_and_phone,A,email_first,legitimate_interest,email_verified,24.73,Islamic Travel feels proud to offer Hajj and Umrah packages with 5-star hotels and direct flights from London. Islamic Travel also offers Short term Hajj Umrah package service for groups and families with an option to customize and add anything to make it best Hajj and Umrah package for you. Get the best Hajj Umrah dea
Islamic Travel Agency,Islamic Travel Agency,islamictravelagency.co.uk,https://www.islamictravelagency.co.uk/umrah-packages.html,United Kingdom,domain_tld,Europe,uk,info@islamictravelagency.co.uk,islamictravelagency.co.uk,company_domain,yes,no,+447951138405,+447951138405,email_and_phone,A,email_first,legitimate_interest,email_verified,25.10,"Umrah packages from UK are offered by Islamic Travel Agency starting around £395-£899. Get All-inclusive cheap Umrah deals for families, groups or individual pilgrims."
Muslims Holy Travel,Muslims Holy Travel,muslimsholytravel.co.uk,https://www.muslimsholytravel.co.uk/contact-us,United Kingdom,domain_tld,Europe,uk,info@muslimsholytravel.co.uk,muslimsholytravel.co.uk,company_domain,yes,no,0203 900 0310,+442039000310,email_and_phone,A,email_first,legitimate_interest,email_verified,25.44,"Muslims Holy Travel is always looking forward to help customers in planning a journey of Hajj, Umrah or Halal Holiday Destinations."
Safamarwah Travel,Safamarwah Travel,safamarwahtravel.co.uk,https://www.safamarwahtravel.co.uk/contact-us,United Kingdom,domain_tld,Europe,uk,info@safamarwahtravel.co.uk,safamarwahtravel.co.uk,company_domain,yes,no,447951878851,+14479518788,email_and_phone,A,email_first,legitimate_interest,email_verified,24.98,"Having years of experience, discounted deals and professional support, we are offering remarkable travel arrangements for Muslims. Enjoy your Umrah trip or Halal family holiday by opting luxury holiday package at reasonable price."
Alhadi Travel USA,Alhadi Travel USA,alhaditravel.com,https://alhaditravel.com,United States,text_hint,North America,com,info@alhaditravel.com,alhaditravel.com,company_domain,yes,no,+1 (520) 595 - 0005 54,+15205950005,email_and_phone,A,email_first,legitimate_interest,email_verified,25.37,"Book Hajj and Umrah tours with Alhadi Travel, a trusted USA-based agency. Enjoy all-inclusive packages with visa, flights, and hotels."
Hajaz Travels,Hajaz Travels,alhajaztravels.com,https://alhajaztravels.com,United States,text_hint,North America,com,info@alhajaztravels.com,alhajaztravels.com,company_domain,yes,no,+1 888 980 8775,+18889808775,email_and_phone,A,email_first,legitimate_interest,email_verified,25.25,"Al Hajjaz Travels is a USA Umrah Travel Agency , We provide Best Hajj, Umrah, Flights, and Tour Packages in the USA. Contact us now!"
Alharam Travel,Alharam Travel,alharamtravel.com,https://www.alharamtravel.com,United States,text_hint,North America,com,info@alharamtravel.com,alharamtravel.com,company_domain,yes,no,888-608-1057,+18886081057,email_and_phone,A,email_first,legitimate_interest,email_verified,24.73,"AlHaram Travel is a leading Hajj & Umrah services provider that specializes in designing Hajj & Umrah packages for USA citizens. Select flights from nearest USA airport, choose near Haram hotel & get fast visa processing while booking all-inclusive Hajj & Umrah packages. Avail professional assistance from certified tra"
Al Haram Travel and Tours,Al Haram Travel and Tours,alharamtravelntours.com,https://alharamtravelntours.com,United States,text_hint,North America,com,info@alharamtravelntours.com,alharamtravelntours.com,company_domain,yes,no,+1 (623) 404-4213,+16234044213,email_and_phone,A,email_first,legitimate_interest,email_verified,25.37,"Explore amazing travel packages with Al Haram Travel & Tours in Texas, New York, Michigan, Ohio, Washington, Detroit & Dallas today!"
Al Raad Tours & Travel,Alraad Tours,alraadtours.com,http://www.alraadtours.com/contact-us,United States,text_hint,North America,com,info@alraadtours.com,alraadtours.com,company_domain,yes,no,678-677-2807,+16786772807,email_and_phone,A,email_first,legitimate_interest,email_verified,25.31,"Reach out to Al Raad Tours for Hajj & Umrah inquiries. Call 678-677-2807 or email info@alraadtours.com. Visit us in Atlanta, GA."
Dallas Tour & Travel,Dallas Tour & Travel,dallastourtravel.com,https://www.dallastourtravel.com,United States,text_hint,North America,com,info@dallastourtravel.com,dallastourtravel.com,company_domain,yes,no,+62 812 14 2000 64,+6281214200064,email_and_phone,A,email_first,legitimate_interest,email_verified,24.64,"Dallas Tour & Travel (PT. Delta Laras Wisata) adalah Biro Perjalanan Wisata yang berdiri sejak Tahun 2013 dan telah mendapatkan izin resmi dari Kementerian Agama RI sebagai Penyelenggara Perjalanan Ibadah Umrah dan Penyelanggara Ibadah Haji Khusus . Selain Ticketing, Land Arrangement & Wisata halal , Dallas Tour & Trav"
Hagel Travel & Tours,Hagel Travel & Tours,hageltravel.com,https://www.hageltravel.com,United States,phone,North America,com,sales@hageltravel.com,hageltravel.com,company_domain,yes,no,+65 6296 8644,+6562968644,email_and_phone,A,email_first,legitimate_interest,email_verified,25.20,"With over 25 years of experience, Hagel Travel offers trusted Umrah, Hajj & Muslim-friendly tour packages across Asia, the Middle East & beyond."
"Travel Packages In Chicago, IL",Hajj Makkah Tours,hajjmakkahtours.com,https://www.hajjmakkahtours.com,United States,text_hint,North America,com,hello@hajjmakkahtours.com,hajjmakkahtours.com,company_domain,yes,no,60659 (773) 338-0720,+17733380720,email_and_phone,A,email_first,legitimate_interest,email_verified,26.43,"Welcome to Makkah Tours & Travel Inc. in Chicago, IL offering Tour Packages, Hajj Packages, Umrah Group, Umrah Packages and more."
Holy Travel and Tours,Holy Travel and Tours,holytravelsandtour.com,https://holytravelsandtour.com,United States,text_hint,North America,com,info@holytravelsandtour.com,holytravelsandtour.com,company_domain,yes,no,+1 (415) 791-5351,+14157915351,email_and_phone,A,email_first,legitimate_interest,email_verified,25.25,"Experience the journey of Umrah with unmatched comfort and convenience. Our luxury custom Umrah packages from USA, offer premium accommodations, and personalized services."
ITravelBest,I Travel Best,itravelbest.com,https://www.itravelbest.com,United States,text_hint,North America,com,info@itravelbest.com,itravelbest.com,company_domain,yes,no,972) 837-5009,+19728375009,email_and_phone,A,email_first,legitimate_interest,email_verified,24.98,"When it comes to embarking on a spiritual journey like Umrah or planning your dream vacation, you deserve nothing but the best. In the vibrant city of Dallas,"
Labbaik Hajj Umrah USA,Labbaik Hajj Umrah USA,labbaikhajjumrah.com,https://www.labbaikhajjumrah.com,United States,text_hint,North America,com,info@labbaikhajjumrah.com,labbaikhajjumrah.com,company_domain,yes,no,+17732321877,+17732321877,email_and_phone,A,email_first,legitimate_interest,email_verified,25.37,"Being a Leading USA Travel Agency, Labbaik Hajj Umrah offers Hajj and Umrah Packages according to your needs, Contact Us: (773) 232-1877"
Mafaza Travel and Hajj,Mafaza Travel and Hajj,mafazatours.com,https://www.mafazatours.com/mafaza-travel-for-hajj-and-umrah/hajj-umrah-tour-operations-mafaza-travel-usa,United States,text_hint,North America,com,mafaza@mafazatours.com,mafazatours.com,company_domain,no,no,+1- 202-247-1535,+12022471535,email_and_phone,A,email_first,unknown,email_verified,27.97,Explore Hajj & Umrah Tour operations with Mafaza Travel & Hajj Agency. Enjoy quality packages and reliable service for your sacred journey.
MARAM TOURS & TRAVEL,MARAM TOURS & TRAVEL,maramtravel.com,https://www.maramtravel.com/affordable-hajj-packages,United States,phone,North America,com,manager@maramtravel.com,maramtravel.com,company_domain,no,no,212-523-0314,+12125230314,email_and_phone,A,email_first,unknown,email_verified,25.61,Don't Let Money Stop You – Try Our Affordable Hajj Packages
Masartomecca,Masartomecca,masartomecca.com,https://masartomecca.com/umrah-packages-from-new-york,United States,text_hint,North America,com,info@masartomecca.com,masartomecca.com,company_domain,yes,no,+1 917-227-9341,+19172279341,email_and_phone,A,email_first,legitimate_interest,email_verified,25.20,"Book Umrah packages from New York with a trusted Umrah travel agency from New York. Affordable prices, flights, hotels, visa & full support."
Approved Islamic Travel Agents,Qiblatain,qiblatain.com,https://www.qiblatain.com,United States,text_hint,North America,com,info@qiblatain.com,qiblatain.com,company_domain,yes,no,+19145200581,+19145200581,email_and_phone,A,email_first,legitimate_interest,email_verified,27.77,"Book with a trusted Umrah travel agency in the USA. Approved Islamic travel agents offering visa assistance, flights, hotels, & customized Umrah packages. Contact us today."
Qibla Travel,Qibla Travel,qiblatravel.com,https://qiblatravel.com/umrah-packages-from-tampa,United States,text_hint,North America,com,info@qiblatravel.com,qiblatravel.com,company_domain,yes,no,+1 201-726-7525 12,+12017267525,email_and_phone,A,email_first,legitimate_interest,email_verified,26.23,Qibla Travel – Trusted Islamic Travel Services
Shery Travels,Shery Travels,sherytravels.com,https://sherytravels.com/umrah/usa-packages/chicago,United States,text_hint,North America,com,info@sherytravels.com,sherytravels.com,company_domain,yes,no,+1 667-439-1263,+16674391263,email_and_phone,A,email_first,legitimate_interest,email_verified,25.87,"Start your Umrah journey from Chicago with Shery Travels. Easy departures from O'Hare, group travel with Chicago's Muslim community, and full guidance for a smooth and spiritual pilgrimage."
